step_index,transport_linear_velocity,placing_linear_velocity,release_opening_velocity,retract_linear_velocity,cube0_final_z,cube1_final_z,cube2_final_z,cube3_final_z
1,0.059951068847921785,0.08905182130210719,0.10505627781770158,0.08178433910154305,0.024754538631568193,0.07469409322514109,0.024869166672692004,0.024869166672692004
1,0.059951068847921785,0.08905182130210719,0.10505627781770158,0.08178433910154305,0.024753724265634977,0.07471678786798518,0.024869166672692004,0.024869166672692004
1,0.059951068847921785,0.08905182130210719,0.10505627781770158,0.08178433910154305,0.024754627172398326,0.07471075539632448,0.024869166672692004,0.024869166672692004
1,0.059951068847921785,0.08905182130210719,0.10505627781770158,0.08178433910154305,0.0247542008439949,0.07469764149588207,0.024869166672692004,0.024869166672692004
2,0.08376986163870562,0.056362253425633835,0.06353752429875309,0.11886457985704539,0.024663878997411664,0.07459214689405706,0.1244010029397534,0.024869166672692004
2,0.08376986163870562,0.056362253425633835,0.06353752429875309,0.11886457985704539,0.024660833562806208,0.07455200594721227,0.12441775533891569,0.024869166672692004
2,0.08376986163870562,0.056362253425633835,0.06353752429875309,0.11886457985704539,0.024664877195063842,0.07454853086622806,0.12437801569867918,0.024869166672692004
2,0.08376986163870562,0.056362253425633835,0.06353752429875309,0.11886457985704539,0.024661711004113077,0.07456732557023697,0.12443429510762435,0.024869166672692004
3,0.08454444274104442,0.07715606347627878,0.05987766853373282,0.03875138545104731,0.02458988326748644,0.07448872173101262,0.12419507832969026,0.17407882876981895
3,0.08454444274104442,0.07715606347627878,0.05987766853373282,0.03875138545104731,0.024589886472671213,0.0744274850440689,0.12418038435459583,0.17400983323703398
3,0.08454444274104442,0.07715606347627878,0.05987766853373282,0.03875138545104731,0.02460630313661454,0.07442607798933885,0.12410457442647045,0.17388230351619244
3,0.08454444274104442,0.07715606347627878,0.05987766853373282,0.03875138545104731,0.024589578538344647,0.07443465075028283,0.12416580927533236,0.17399608334446015
1,0.1263047507675703,0.09080363264511798,0.1112745747759673,0.08531794707870306,0.02475467243852259,0.07467522509916892,0.024666254973687515,0.024963459228605062
1,0.1263047507675703,0.09080363264511798,0.1112745747759673,0.08531794707870306,0.024754102398552816,0.07468152003351182,0.024666254973687515,0.024963459228605062
1,0.1263047507675703,0.09080363264511798,0.1112745747759673,0.08531794707870306,0.024754630478649422,0.07469901280087661,0.024666254973687515,0.024963459228605062
1,0.1263047507675703,0.09080363264511798,0.1112745747759673,0.08531794707870306,0.024755031607191752,0.0746711516555683,0.024666254973687515,0.024963459228605062
1,0.1263047507675703,0.09080363264511798,0.1112745747759673,0.08531794707870306,0.024754742658779503,0.07467437330672402,0.024666254973687515,0.024963459228605062
2,0.08392367504540656,0.06194786937773825,0.10095921836073707,0.10915166180840462,0.024668956970786304,0.07455003841235558,0.12443110237629132,0.024963459228605062
2,0.08392367504540656,0.06194786937773825,0.10095921836073707,0.10915166180840462,0.02466167613005379,0.07451824336335953,0.12445110805229195,0.024963459228605062
2,0.08392367504540656,0.06194786937773825,0.10095921836073707,0.10915166180840462,0.024664084420029635,0.07451714560007812,0.12444584111715483,0.024963459228605062
2,0.08392367504540656,0.06194786937773825,0.10095921836073707,0.10915166180840462,0.02466855058475927,0.07449846823059249,0.12439842321878616,0.024963459228605062
2,0.08392367504540656,0.06194786937773825,0.10095921836073707,0.10915166180840462,0.024664016725872203,0.07450920997824005,0.12443913034887603,0.024963459228605062
3,0.0913429442840212,0.034554630736127925,0.07874400773948609,0.09051535383523368,0.024604421072376148,0.07436035074537789,0.12417656417222414,0.17415563965854863
3,0.0913429442840212,0.034554630736127925,0.07874400773948609,0.09051535383523368,0.024594940353725732,0.07438232088966146,0.12421313854695862,0.17419279026187254
3,0.0913429442840212,0.034554630736127925,0.07874400773948609,0.09051535383523368,0.024591989771360748,0.07437468069729743,0.12427587946663171,0.17425182382214288
3,0.0913429442840212,0.034554630736127925,0.07874400773948609,0.09051535383523368,0.02458771472975159,0.07439106058599952,0.12425122979435885,0.17420290426462762
3,0.0913429442840212,0.034554630736127925,0.07874400773948609,0.09051535383523368,0.02460258713197577,0.07444110278592467,0.12426039658743263,0.1742479078705297
1,0.04067829811927083,0.05025432191376591,0.07208253112402942,0.0879366002713662,0.024753813080246344,0.07470165650136432,0.02490284980333554,0.024963459228605062
1,0.04067829811927083,0.05025432191376591,0.07208253112402942,0.0879366002713662,0.024753604457288414,0.07470378983862228,0.02490284980333554,0.024963459228605062
1,0.04067829811927083,0.05025432191376591,0.07208253112402942,0.0879366002713662,0.02475376399169657,0.07470216123408963,0.02490284980333554,0.024963459228605062
1,0.04067829811927083,0.05025432191376591,0.07208253112402942,0.0879366002713662,0.02475361841180507,0.07470364548736023,0.02490284980333554,0.024963459228605062
1,0.04067829811927083,0.05025432191376591,0.07208253112402942,0.0879366002713662,0.024753947312236124,0.07470027629651182,0.02490284980333554,0.024963459228605062
2,0.1359363382546995,0.06178384976788598,0.07267634107725546,0.048903569872975394,0.024659108999728407,0.07456457247952113,0.12446152628362085,0.024963459228605062
2,0.1359363382546995,0.06178384976788598,0.07267634107725546,0.048903569872975394,0.02466364553293039,0.07458329861863432,0.12444842726647143,0.024963459228605062
2,0.1359363382546995,0.06178384976788598,0.07267634107725546,0.048903569872975394,0.024660800933415588,0.07456290108672985,0.12444122241250953,0.024963459228605062
2,0.1359363382546995,0.06178384976788598,0.07267634107725546,0.048903569872975394,0.024661995733868933,0.07456466705964221,0.12442284840115568,0.024963459228605062
2,0.1359363382546995,0.06178384976788598,0.07267634107725546,0.048903569872975394,0.02466239499719912,0.07456386745244636,0.12441677043894506,0.024963459228605062
3,0.09758162313654922,0.04358035105574462,0.03876213166357251,0.053183148790700005,0.024594476040525698,0.07445655694309472,0.12418643575793781,0.17405943782029148
3,0.09758162313654922,0.04358035105574462,0.03876213166357251,0.053183148790700005,0.02458518828734081,0.07444749938120525,0.12424508995531737,0.17415768645007362
3,0.09758162313654922,0.04358035105574462,0.03876213166357251,0.053183148790700005,0.024597204882530616,0.0744843148408209,0.12424170840721102,0.17415685902684838
