step_index,object_friction,pre_approach_linear_velocity,grasp_linear_velocity,grasp_closing_velocity,grasp_stall_min_time,lift_linear_velocity
1,0.8365399438803937,0.08808335352957955,0.04818324311349113,0.0878060265249972,0.5782970263056657,0.14934735976138397
2,2.0351628759522433,0.09527691334246391,0.0783193694602855,0.08155631636051348,0.529887258210774,0.13205327007540996
3,1.1309158652759312,0.11658407427742132,0.05804761475324072,0.08505277639902659,0.3095546137793592,0.12314080390225259
1,1.5385984078241417,0.11015636137397976,0.060307997040064204,0.07599050187573746,0.280562957279898,0.17322818355353942
2,1.5057241215378179,0.12102535998420821,0.043942029959868886,0.14522152205824188,0.33564165737720786,0.12484193528825738
3,1.398683381194937,0.15767603111462247,0.13407498471949225,0.09843622229752066,0.20974322549563762,0.099638840252132
1,1.239691255070948,0.111428173316856,0.025497278594433757,0.1163628028477321,0.3441668280867929,0.15480105878401085
2,1.607727434207029,0.10452265623709694,0.03712347718181394,0.1451731812682837,0.4324380063486779,0.1323774300935185
3,0.5469974297923994,0.14858092980227897,0.02593129890281942,0.0543287095546193,0.28460231316606954,0.09183242309689685
1,1.400466687310911,0.10983797448421215,0.053963357900709163,0.12205936776389048,0.32670586104081456,0.13485014212390942
2,0.8282818202723623,0.0783208435155773,0.06165112296074671,0.06544773479215332,0.5053272650791185,0.12444622907229615
3,1.4254024377923304,0.08945806793845466,0.08033017907798809,0.08922719325275583,0.2549421991441416,0.1413760820546904
1,1.3211642660934386,0.2045136166843215,0.08003482605514028,0.09580573934240924,0.24859991426585992,0.10165911326688053
2,0.7862500037508431,0.09432378784541466,0.023798814279953992,0.11612487914248765,0.5417482319157525,0.1513754373325591
3,0.7596450915067066,0.11276658920651152,0.01273040393725456,0.06949838872556492,0.4449971854147486,0.09173015375256653
1,0.9858308974567528,0.15462422974237597,0.06718453856906748,0.13953813103496937,0.4225069298293836,0.13812186662199052
2,2.368539405914742,0.10435236390974399,0.06715047881829217,0.09858504084891952,0.3247676062014302,0.0925805773412422
3,1.7471710971962142,0.12312812433497175,0.03319956375759288,0.08457540875669109,0.44944119361510365,0.10372978679655792
1,1.8401241580351093,0.09602704205617987,0.03195924647022405,0.16423038887469593,0.4987370015171973,0.12748603690120683
2,0.9941984315140013,0.1389507726934224,0.06813383741936083,0.1692914751328422,0.46171367850186584,0.0913271187095352
3,2.4180288922675315,0.10476856698420894,0.04520003542054671,0.12017986695826874,0.5050643660818748,0.0757415156461747
1,1.0810058351834937,0.09882152546818175,0.03238453636467805,0.09213630108686927,0.37721008093018926,0.1752324988096707
2,1.5842843802584086,0.0632818636244474,0.031298373974335464,0.07878754817299805,0.5274128936726782,0.12067669651514082
3,1.5766709745953515,0.10105435694303813,0.0842184896535708,0.1568344816611609,0.30171786006354295,0.18491995311029552
1,0.9667930964983201,0.1238993325880901,0.11900255609073679,0.09162341347855733,0.4652596553807296,0.17324037364553274
2,1.0137059050180008,0.12851219027247657,0.026993049440762956,0.09575894845476228,0.4290641194406192,0.09021288790462399
3,1.1232049266322033,0.103052416711399,0.035490837278710066,0.1468916939972908,0.28623575827453557,0.14799918372655707
1,1.6461737400591006,0.08700875791620843,0.08893653988061155,0.11729488654484069,0.4730342252373139,0.1085742472763238
2,1.1653806813965137,0.0637700917185664,0.09020732432710812,0.1307574059495095,0.30723092829069637,0.12780153118239818
3,1.938328261176002,0.11355871898117863,0.043615043340460326,0.1470372362837459,0.5379585598924117,0.13173845572381437
1,1.9962812752466839,0.07387048877650484,0.04096503060831963,0.1124636800904277,0.4448736373058504,0.10074075308570402
2,1.2068886345519512,0.1424736367821238,0.038030794207348194,0.11300163401765075,0.3331939786151342,0.1903517911287137
3,1.431764888773507,0.1229111445336023,0.041761834034336254,0.13663233044270945,0.43823587910915596,0.1614801518909146
1,1.4654258508514528,0.0966779607221655,0.04317051279542308,0.05673519049700532,0.2635633840477356,0.15127439175834456
2,1.7127145074344023,0.11851872042295036,0.024624641114105204,0.12740440370869216,0.36276248086850665,0.09890821047048899
3,1.365998924960533,0.07737620309785229,0.012604847618236104,0.08724039990353626,0.5692849557240475,0.11836470028317822
1,1.4606157361840606,0.08880448679898827,0.09095749999475368,0.13286744604144934,0.33153442812196615,0.15130151610632536
2,2.248761944721222,0.1275593808911511,0.052676849128078324,0.1034426967571675,0.45740487164362387,0.1437443732714331
3,1.1019913411898932,0.12278769367493395,0.026141035807994335,0.03954294223802909,0.31266902613923353,0.1426608602712666
1,1.804064145899351,0.15200324204266824,0.06799560714238889,0.08137472473539377,0.42135416381895296,0.12207002567000767
2,1.3082317741319858,0.09815892789551575,0.055305542627055365,0.14547290395251428,0.3861418827383649,0.13459078219871135
3,1.6444935488691106,0.11396409269747933,0.07361230305497045,0.07336471933588058,0.30776688760473614,0.1589762663046655
1,1.7165111098712953,0.0679019883266496,0.1035637441357971,0.13821255879669403,0.3231382210733584,0.15050905921291674
2,0.9926593980704608,0.11199928677842388,0.019431372789079325,0.10062757305957484,0.3257009682836102,0.13213787157763102
3,1.1492862429093766,0.14955717041486433,0.0534859199342796,0.12631488381704484,0.5273661869152062,0.12640394237679028
1,1.2350329416118628,0.11452756073981903,0.04813893322888656,0.10470708866403043,0.5062233889137392,0.20203328558901185
2,0.7385995859596082,0.13877903630938485,0.020850431548171827,0.1350143450454018,0.3530318723737058,0.08617284139042597
3,1.805702886356666,0.1198421059057194,0.031288308486163416,0.08250063093791024,0.4325207016531139,0.16930123480176126
1,1.208097483179917,0.1051607461350421,0.07571055278486613,0.06850020072727211,0.5580482397629842,0.14387489420285474
2,1.575819542907245,0.1035639723389266,0.029192212129673042,0.07073723202429372,0.47125836161777424,0.10693875131924512
3,1.360263298886798,0.1396581898918952,0.10322308544633935,0.08719875514739438,0.36686481272572835,0.08668322390947575
1,1.5782187949986868,0.16989841252719817,0.03468577303154619,0.06065893239288236,0.30565291332371924,0.1314824101780914
2,0.9340267460830668,0.09677694708902944,0.09804704884486462,0.18062404252387576,0.3272906684659006,0.15907866060102138
3,1.1483994879067865,0.15324144890819835,0.05094479197906074,0.05973057622721889,0.3190504395949834,0.09651846535146345
1,0.3080514390930065,0.12630249597357807,0.01654130948661212,0.07624537010167225,0.32430611527636294,0.124296294218099
2,1.8070769725272304,0.15498194084069053,0.021203079367668513,0.10089329794504971,0.5695114812976065,0.08849212099567619
3,0.543604091081674,0.12035022662294902,0.02787173208515492,0.043496629003040584,0.33799351721754983,0.10275413274340231
1,1.2300225383063788,0.12167612395656645,0.042534315340122954,0.12206221964281637,0.4914840229808088,0.1662670208895349
2,1.4924620975562508,0.08268036337280772,0.05826361241749987,0.10071291894057556,0.3030968602265083,0.09261218544750709
3,0.6304537034770412,0.0973573665827095,0.042443362841034414,0.11169719119558368,0.2694958543187361,0.14150911692395132
1,1.1905756263329779,0.09122928725134084,0.02389468965523249,0.0955659120588863,0.3879803046552737,0.12303643571472357
2,2.102730520417638,0.07000899251152917,0.05461392821104932,0.10812752337786932,0.3894753346045159,0.093840265354657
3,0.26832143125999086,0.13191337860476485,0.05508613636730464,0.1311354570653177,0.45186370885409055,0.089680495315836
