step_index,object_friction,pre_approach_linear_velocity,grasp_linear_velocity,grasp_closing_velocity,grasp_stall_min_time,lift_linear_velocity,cube0_final_z,cube1_final_z,cube2_final_z,cube3_final_z,transport_linear_velocity,placing_linear_velocity,release_opening_velocity,retract_linear_velocity
1,0.8365399438803937,0.08808335352957955,0.04818324311349113,0.0878060265249972,0.5782970263056657,0.14934735976138397,0.02475373722996523,0.0747024376971461,0.024869166672692004,0.024869166672692004,0.10713516893614587,0.036315515856436366,0.08162134807413887,0.11418007351532389
1,0.8365399438803937,0.08808335352957955,0.04818324311349113,0.0878060265249972,0.5782970263056657,0.14934735976138397,0.024753641909812864,0.07470341302080295,0.024869166672692004,0.024869166672692004,0.10713516893614587,0.036315515856436366,0.08162134807413887,0.11418007351532389
1,0.8365399438803937,0.08808335352957955,0.04818324311349113,0.0878060265249972,0.5782970263056657,0.14934735976138397,0.02475368118855605,0.0747030073956182,0.024869166672692004,0.024869166672692004,0.10713516893614587,0.036315515856436366,0.08162134807413887,0.11418007351532389
1,0.8365399438803937,0.08808335352957955,0.04818324311349113,0.0878060265249972,0.5782970263056657,0.14934735976138397,0.024753533722642142,0.0747045002467746,0.024869166672692004,0.024869166672692004,0.10713516893614587,0.036315515856436366,0.08162134807413887,0.11418007351532389
1,0.8365399438803937,0.08808335352957955,0.04818324311349113,0.0878060265249972,0.5782970263056657,0.14934735976138397,0.024753687633913793,0.07470294496715318,0.024869166672692004,0.024869166672692004,0.10713516893614587,0.036315515856436366,0.08162134807413887,0.11418007351532389
1,0.8365399438803937,0.08808335352957955,0.04818324311349113,0.0878060265249972,0.5782970263056657,0.14934735976138397,0.02475381158630898,0.07470167123318963,0.024869166672692004,0.024869166672692004,0.10713516893614587,0.036315515856436366,0.08162134807413887,0.11418007351532389
1,0.8365399438803937,0.08808335352957955,0.04818324311349113,0.0878060265249972,0.5782970263056657,0.14934735976138397,0.024753640030048082,0.07470342640184272,0.024869166672692004,0.024869166672692004,0.10713516893614587,0.036315515856436366,0.08162134807413887,0.11418007351532389
2,2.0351628759522433,0.09527691334246391,0.0783193694602855,0.08155631636051348,0.529887258210774,0.13205327007540996,0.024662749276426584,0.07455421341690452,0.12439354719510572,0.024869166672692004,0.08376986163870562,0.056362253425633835,0.06353752429875309,0.11886457985704539
2,2.0351628759522433,0.09527691334246391,0.0783193694602855,0.08155631636051348,0.529887258210774,0.13205327007540996,0.024658932680009838,0.07456143472002667,0.12442427407934001,0.024869166672692004,0.08376986163870562,0.056362253425633835,0.06353752429875309,0.11886457985704539
2,2.0351628759522433,0.09527691334246391,0.0783193694602855,0.08155631636051348,0.529887258210774,0.13205327007540996,0.02466114705836479,0.07455926512868773,0.12440275110543546,0.024869166672692004,0.08376986163870562,0.056362253425633835,0.06353752429875309,0.11886457985704539
